goos: darwin
goarch: arm64
pkg: github.com/zhangyunhao116/gomapbench
cpu: Apple M1 Pro
BenchmarkMapIter/Int/6-10           	27202274	        45.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/6-10           	27028878	        44.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/6-10           	26971089	        44.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/6-10           	26531991	        43.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/6-10           	27607494	        44.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/6-10           	25848187	        57.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/6-10           	23231089	        54.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/6-10           	25816605	        44.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/6-10           	24906793	        52.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/6-10           	24455212	        49.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/12-10          	12114288	       122.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/12-10          	12570610	       103.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/12-10          	12297134	       118.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/12-10          	11872758	        97.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/12-10          	12306202	        96.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/12-10          	12504482	        96.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/12-10          	11335899	        99.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/12-10          	12297002	       102.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/12-10          	12000214	       115.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/12-10          	12119936	        94.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/18-10          	 9289371	       144.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/18-10          	 7622222	       161.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/18-10          	 7667088	       160.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/18-10          	 8386825	       142.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/18-10          	 8839561	       144.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/18-10          	 8936247	       164.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/18-10          	 8039426	       144.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/18-10          	 8967506	       199.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/18-10          	 8629177	       151.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/18-10          	 7965098	       134.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/24-10          	 7634886	       164.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/24-10          	 7586316	       159.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/24-10          	 7496902	       162.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/24-10          	 6898749	       160.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/24-10          	 7627221	       169.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/24-10          	 6972696	       166.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/24-10          	 6912135	       185.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapIter/Int/24-10          	 7295181	       163.7 ns/op	       0 B/op	       0 allocs/op
